id;nombre;descripcion;estado
1;Chief Creek payment;back-end e-tailers copy;INACTIVO
2;yellow sensor;Chair Consultant Awesome;INACTIVO
3;matrix Seychelles Rupee Communications;global;ACTIVO
4;syndicate overriding Fresh;Central;ACTIVO
5;SQL Tasty Frozen Pizza Rustic;Granite;ACTIVO
6;Home Loan Account Tactics front-end;front-end architecture port;INACTIVO
7;withdrawal;Maryland;INACTIVO
8;Minnesota Programmable;Bosnia and Herzegovina;ACTIVO
9;firewall Cambridgeshire Regional;JBOD;ACTIVO
10;Awesome Wooden Chair Small;streamline Product;ACTIVO
